id,lon,lat
pt_ll_213,6.24,37.02
pt_ll_214,5.94,36.96
pt_ll_215,6.3,36.96
pt_ll_216,5.76,36.84
pt_ll_217,5.4,36.72
pt_ll_218,5.04,36.48
pt_ll_5147,4.5,36.66
pt_ll_219,4.44,36.24
pt_ll_220,6.96,37.44
pt_ll_221,6.96,37.26
pt_ll_222,6.84,37.08
pt_ll_223,7.08,37.08
pt_ll_224,6.96,37.02
pt_ll_225,7.32,37.26
pt_ll_226,7.38,37.08
pt_ll_5150,7.5,37.32
pt_ll_227,7.38,36.96
pt_ll_228,7.92,37.2
pt_ll_229,3.36,37.44
pt_ll_230,3.36,37.26
pt_ll_231,3.6,36.9
pt_ll_232,3.72,37.62
pt_ll_233,4.08,37.68
pt_ll_234,4.32,37.44
pt_ll_235,4.68,37.26
pt_ll_236,3.96,37.08
pt_ll_237,4.08,37.08
pt_ll_238,4.08,36.96
pt_ll_239,3.96,36.84
pt_ll_240,4.32,36.72
pt_ll_241,4.38,37.68
pt_ll_242,4.68,37.5
pt_ll_5148,5.04,37.44
pt_ll_243,4.56,37.32
pt_ll_244,5.04,37.2
pt_ll_245,4.68,37.08
pt_ll_246,4.8,36.9
pt_ll_247,5.04,36.84
pt_ll_248,4.68,36.78
pt_ll_249,4.68,36.6
pt_ll_250,5.04,38.04
pt_ll_251,5.52,38.1
pt_ll_252,5.16,38.1
pt_ll_253,5.76,37.92
pt_ll_254,5.04,37.74
pt_ll_255,5.28,37.68
pt_ll_256,5.52,37.56
pt_ll_257,5.22,37.32
pt_ll_258,5.76,37.26
pt_ll_259,5.52,37.08
pt_ll_260,5.16,37.08
pt_ll_261,5.4,36.78
pt_ll_262,5.22,36.78
pt_ll_263,6.12,38.04
pt_ll_264,6.24,37.86
pt_ll_265,6.18,37.74
pt_ll_266,5.94,37.68
pt_ll_267,5.88,37.44
pt_ll_268,4.2,38.04
pt_ll_269,4.68,38.04
pt_ll_270,4.68,37.92
pt_ll_271,4.68,37.74
pt_ll_272,4.5,37.74
pt_ll_273,4.32,37.2
pt_ll_274,5.28,37.08
pt_ll_275,3.72,36.12
pt_ll_5762,3.84,40.2
pt_ll_276,6.6,40.2
pt_ll_277,8.4,40.08
pt_ll_278,2.64,37.26
pt_ll_279,2.16,37.32
pt_ll_280,1.8,37.62
pt_ll_281,3.6,38.16
pt_ll_282,3.66,38.46
pt_ll_283,3.54,38.52
pt_ll_284,3.48,38.76
pt_ll_285,3.72,39.06
pt_ll_286,3.96,39.24
pt_ll_287,6.48,39.24
pt_ll_288,8.4,39.42
pt_ll_289,3.6,39.36
pt_ll_290,3.72,39.48
pt_ll_291,3.72,39.84
pt_ll_292,3.84,40.2
pt_ll_293,3.84,38.16
pt_ll_294,3.78,37.98
pt_ll_295,4.14,39.06
pt_ll_296,3.84,38.88
pt_ll_297,4.32,38.88
pt_ll_298,3.84,38.7
pt_ll_299,4.08,38.58
pt_ll_300,4.44,38.64
pt_ll_301,4.08,38.4
pt_ll_302,4.44,38.4
pt_ll_303,4.44,38.22
pt_ll_304,3.96,40.14
pt_ll_305,4.08,39.96
pt_ll_306,4.32,39.84
pt_ll_307,4.68,39.78
pt_ll_308,4.8,39.96
pt_ll_309,5.22,39.66
pt_ll_310,4.8,39.66
pt_ll_311,5.28,39.6
pt_ll_312,3.96,39.36
pt_ll_313,4.08,39.24
pt_ll_314,4.32,39.54
pt_ll_315,4.56,39.42
pt_ll_316,4.8,39.24
pt_ll_317,5.4,39.42
pt_ll_318,5.52,39.24
pt_ll_319,4.92,39.06
pt_ll_320,4.8,38.88
pt_ll_321,5.76,39.06
pt_ll_322,5.28,38.88
pt_ll_323,4.92,38.7
pt_ll_324,4.8,38.52
pt_ll_325,5.04,38.4
pt_ll_326,5.04,38.22
pt_ll_327,5.64,38.82
pt_ll_328,5.28,38.64
pt_ll_329,5.76,38.52
pt_ll_330,5.28,38.34
pt_ll_331,5.52,38.22
pt_ll_332,6.12,38.52
pt_ll_333,6.24,38.28
pt_ll_334,6.12,40.08
pt_ll_335,5.76,39.96
pt_ll_336,6.36,40.2
pt_ll_337,5.76,39.78
pt_ll_338,6.0,39.78
pt_ll_339,6.12,39.6
pt_ll_340,6.0,39.6
pt_ll_341,6.0,39.42
pt_ll_342,6.24,39.36
pt_ll_343,6.36,39.18
pt_ll_344,6.12,38.94
pt_ll_345,2.16,39.6
pt_ll_346,3.96,40.5
pt_ll_347,3.96,40.68
pt_ll_348,4.08,40.86
pt_ll_349,3.96,41.22
pt_ll_350,3.84,41.52
pt_ll_351,8.28,41.94
pt_ll_352,3.96,41.76
pt_ll_353,4.08,42.0
pt_ll_354,4.08,42.239999999999995
pt_ll_355,3.84,42.48
pt_ll_356,3.78,42.6
