Ptolemy,label,Pleiades
pt_ll_3297,Khōma (Χῶμα),638803
pt_ll_3299,Boubōn (Βουβών),638792
pt_ll_3300,Oineanda (Οἰνεάνδα),639013
pt_ll_3301,Balboura (Βάλβουρα),638789
pt_ll_5431,Sinōpē (Σινώπη),857321
pt_ll_3319,Amisos (Ἀμισός),857024
pt_ll_5438,Sakorsa (Σάκορσα),847902
pt_ll_3333,Pessinous (Πεσσινοῦς),609500
pt_ll_5439,Aggura ē Agkura mētropolis (Ἄγγυρα ἢ Ἄγκυρα μητρόπολις),619103
pt_ll_3367,Lustra (Λύστρα),648699
pt_ll_5442,Attaleia (Ἀττάλεια),638778
pt_ll_3373,Magudos (Μάγυδος),638980
pt_ll_3376,Sidē (Σίδη),639105
pt_ll_3390,Ariassos (Ἀριασσός),638761
pt_ll_3391,Miluas (Μιλυάς),638996
pt_ll_3392,Termēssos (Τερμησσός),639139
pt_ll_3405,Selgē (Σέλγη),639100
pt_ll_3408,Lurbē (Λύρβη),638970
pt_ll_5463,Antiokheia epi Kragō (Ἀντιόχεια ἐπὶ Κράγῳ),648560
pt_ll_3579,Nephelis (Νεφελίς),648720
pt_ll_3580,Anemourion (Ἀνεμούριον),648557
pt_ll_3582,Kelenderis (Κελενδερίς),648596
pt_ll_3601,Seleuukeia Trakheia (Σελευύκεια Τραχεῖα),648771
pt_ll_3602,Diokaisareia (Διοκαισάρεια),648623
pt_ll_3607,Tarsos (Ταρσός),648789
pt_ll_3608,Adana (Ἄδανα),648548
pt_ll_3666,Phasis polis (Φάσις πόλις),857275
pt_ll_3692,Dēglanē (Δηγλάνη),866012
pt_ll_3694,Mosēga (Μόσηγα),866035
pt_ll_3695,Samounis (Σαμουνίς),866052
pt_ll_3768,Arsamosata (Ἀρσαμόσατα),874354
pt_ll_3804,Karpasia (Καρπασία),707526
pt_ll_3812,Soloi (Σόλοι),648781
pt_ll_3832,Simura (Σιμύρα),668372
pt_ll_3839,Sidōn (Σιδών),678393
pt_ll_3841,Ekdippa (Ἐκδίππα),678128
pt_ll_3870,Zeugma (Ζεῦγμα),658636
pt_ll_3871,Eurōpos (Εὔρωπος),893990
pt_ll_3874,Arimara (Ἀριμάρα),662142
pt_ll_3875,Eragiza ē Errhasiga (Ἐραγίζα ἢ Ἐῤῥασίγα),658461
pt_ll_3876,Gephura (Γέφυρα),658472
pt_ll_3877,Gindaros (Γίνδαρος),658475
pt_ll_3878,Imma (Ἴμμα),658486
pt_ll_3880,Daphnē (Δάφνη),658450
pt_ll_3885,Antarados (Ἀντάραδος),668190
pt_ll_3886,Marathos (Μάραθος),668306
pt_ll_3920,Skuthopolis (Σκυθόπολις),678378
pt_ll_3921,Gerasa (Γέρασα),678158
pt_ll_3932,Palmura (Πάλμυρα),668331
pt_ll_3939,Alalis (Ἀλαλίς),668259
pt_ll_3959,Gaza (Γάζα),687902
pt_ll_3961,Ludda (Λύδδα),687953
pt_ll_3962,Antipatris (Ἀντιπατρίς),687996
pt_ll_3963,Drousias (Δρουσιάς),690828
pt_ll_5499,Emmaous (Ἐμμαοῦς),687891
pt_ll_3966,Phasēlis (Φασηλίς),639051
pt_ll_4023,Sipphara (Σιπφάρα),894089
pt_ll_5508,Bētooun (Βητόουν),876592
pt_ll_4033,Apameia (Ἀπάμεια),658385
pt_ll_4035,Edessa (Ἔδεσσα),658457
pt_ll_5512,Arxama (Ἄρξαμα),874366
pt_ll_4040,Gizama (Γιζάμα),874739
