passage	continent	province	siteType	id	text	lonStr	latStr	lon	lonDeg	lonFract	lat	latDeg	latFract	adjustedLon	adjustedLat
http://neelsmith.info/current-projects/geography/ptolemy-geography/geography-4.5.30/	Libya	marmarice	interior-poleis	pt_ll_2851	Βιβλιαφόριον  (Bibliaphorion )	νϛʹγ ιβ"	λʹβ ϛ"	56.417	56	0.417	30.667	30	0.667	27.299999999999997	32.16
http://neelsmith.info/current-projects/geography/ptolemy-geography/geography-4.5.30/	Libya	marmarice	interior-poleis	pt_ll_2852	Σκόπη  (Skopē )	νϛʹβ ϛ"	λʹβ"	56.667	56	0.667	30.5	30	0.5	27.479999999999997	32.04
http://neelsmith.info/current-projects/geography/ptolemy-geography/geography-4.5.31/	Libya	marmarice	interior-poleis	pt_ll_2853	Καλλίου  (Kalliou )	νζʹ	λʹβ  γ"	57.0	57	0.0	30.833	30	0.833	27.72	32.28
http://neelsmith.info/current-projects/geography/ptolemy-geography/geography-4.5.31/	Libya	marmarice	interior-poleis	pt_ll_2854	Λαοδαμάντιον  (Laodamantion )	νζʹβ"	λαʹ	57.5	57	0.5	31.0	31	0.0	28.08	32.4
http://neelsmith.info/current-projects/geography/ptolemy-geography/geography-4.5.31/	Libya	marmarice	interior-poleis	pt_ll_2855	κατάβαθμος μικρός  (katabathmos mikros )	νηʹ	λʹβ  γ"	58.0	58	0.0	30.833	30	0.833	28.439999999999998	32.28
http://neelsmith.info/current-projects/geography/ptolemy-geography/geography-4.5.31/	Libya	marmarice	interior-poleis	pt_ll_2856	Πηδωνία  (Pēdōnia )	νηʹγ"	λαʹ	58.333	58	0.333	31.0	31	0.0	28.68	32.4
http://neelsmith.info/current-projects/geography/ptolemy-geography/geography-4.5.31/	Libya	marmarice	interior-poleis	pt_ll_2857	Πνιγεύς  (Pnigeus )	νηʹβ"	λʹβ"	58.5	58	0.5	30.5	30	0.5	28.799999999999997	32.04
http://neelsmith.info/current-projects/geography/ptolemy-geography/geography-4.5.31/	Libya	marmarice	interior-poleis	pt_ll_2858	Γλαύκων ἢ Γλαυκόν  (Glaukōn ē Glaukon )	νθʹϛ"	λʹβ  γ"	59.167	59	0.167	30.833	30	0.833	29.28	32.28
http://neelsmith.info/current-projects/geography/ptolemy-geography/geography-4.5.31/	Libya	marmarice	interior-poleis	pt_ll_2859	Τουκκίτωρα  (Toukkitōra )	νεʹϛ"	λʹδ"	55.167	55	0.167	30.25	30	0.25	26.4	31.86
http://neelsmith.info/current-projects/geography/ptolemy-geography/geography-4.5.31/	Libya	marmarice	interior-poleis	pt_ll_2860	Θανουθίς  (Thanouthis )	νεʹβ ϛ"	κθʹβ  δ"	55.667	55	0.667	29.75	29	0.75	26.759999999999998	31.5
http://neelsmith.info/current-projects/geography/ptolemy-geography/geography-4.5.31/	Libya	marmarice	interior-poleis	pt_ll_2861	Πέδνοπον  (Pednopon )	νζʹδ"	κθʹβ ϛ"	57.25	57	0.25	29.667	29	0.667	27.9	31.439999999999998
http://neelsmith.info/current-projects/geography/ptolemy-geography/geography-4.5.31/	Libya	marmarice	interior-poleis	pt_ll_2862	Κλίμαξ  (Klimax )	νζʹβ ϛ"	λʹϛ"	57.667	57	0.667	30.167	30	0.167	28.200000000000003	31.799999999999997
http://neelsmith.info/current-projects/geography/ptolemy-geography/geography-4.5.31/	Libya	marmarice	interior-poleis	pt_ll_2863	Σίροπον  (Siropon )	νϛʹγ"	κηʹβ  δ"	56.333	56	0.333	28.75	28	0.75	27.240000000000002	30.78
http://neelsmith.info/current-projects/geography/ptolemy-geography/geography-4.5.31/	Libya	marmarice	interior-poleis	pt_ll_2864	Μαρεῶτις  (Mareōtis )	νηʹ	κηʹγ"	58.0	58	0.0	28.333	28	0.333	28.439999999999998	30.479999999999997
http://neelsmith.info/current-projects/geography/ptolemy-geography/geography-4.5.32/	Libya	marmarice	interior-poleis	pt_ll_2865	ἥ τε Ἀλεξάνδρου παρεμβολή  (hē te Alexandrou parembolē )	νϛʹβ"	κηʹϛ"	56.5	56	0.5	28.167	28	0.167	27.36	30.36
http://neelsmith.info/current-projects/geography/ptolemy-geography/geography-4.5.32/	Libya	marmarice	interior-poleis	pt_ll_2866	 ὁ Ἄμμων πόλις  ( ho Ammōn polis )	νεʹβ"	κηʹ	55.5	55	0.5	28.0	28	0.0	26.64	30.240000000000002
http://neelsmith.info/current-projects/geography/ptolemy-geography/geography-4.5.33/	Libya	marmarice	interior-poleis	pt_ll_2867	Μονοκάμινον  (Monokaminon )	νθʹϛ"	λʹβ"	59.167	59	0.167	30.5	30	0.5	29.28	32.04
